class,filename,height,width,xmax,xmin,ymax,ymin
calculator,calculator00049.jpg,300,170,0.9588405797101449,0.03130434782608696,0.9709283118599273,0.024777006937561942
calculator,calculator00050.jpg,300,176,0.9948776323278316,0.0028457598178713715,0.9721943048576215,0.012060301507537688
calculator,calculator00051.jpg,300,225,0.8484848484848485,0.17897727272727273,0.9779829545454546,0.029829545454545456
calculator,calculator00052.jpg,300,200,0.855,0.13291666666666666,0.9688888888888889,0.03777777777777778
calculator,calculator00053.jpg,300,176,0.9786585365853658,0.08638211382113821,0.9772727272727273,0.014354066985645933
calculator,calculator00054.jpg,300,155,0.9365351629502573,0.15608919382504288,0.93766696349065,0.048975957257346395
calculator,calculator00055.jpg,300,150,0.9899159663865547,0.03697478991596639,0.9915895710681245,0.0159798149705635
calculator,calculator00056.jpg,300,200,0.8611111111111112,0.17476851851851852,0.9027777777777778,0.06867283950617284
calculator,calculator00057.jpg,348,220,0.8818181818181818,0.24545454545454545,0.9511494252873564,0.040229885057471264
calculator,calculator00058.jpg,225,300,1.0,0.0014285714285714286,0.9961904761904762,0.0038095238095238095
calculator,calculator00059.jpg,200,300,0.635357868593362,0.35832016256491306,0.9641043007111412,0.055198103623433796
calculator,calculator00060.jpg,340,200,0.935,0.105,0.9676470588235294,0.026470588235294117
calculator,calculator00061.jpg,201,300,0.7625,0.2953125,0.9906759906759907,0.12354312354312354
calculator,calculator00062.jpg,300,225,0.8652263374485597,0.25823045267489714,0.9861111111111112,0.01890432098765432
calculator,calculator00063.jpg,300,217,0.9633620689655172,0.040948275862068964,1.0,0.0296875
calculator,calculator00064.jpg,347,220,0.9409090909090909,0.03636363636363636,0.9855907780979827,0.023054755043227664
calculator,calculator00065.jpg,200,300,0.9234375,0.1109375,0.9626168224299065,0.08644859813084112
calculator,calculator00066.jpg,180,300,0.8875,0.0078125,0.8419689119170984,0.12953367875647667
calculator,calculator00067.jpg,300,157,0.9466463414634146,0.056402439024390245,0.9807383627608347,0.028089887640449437
calculator,calculator00068.jpg,300,236,0.8969889064976229,0.08399366085578447,0.9275,0.0725
calculator,calculator00069.jpg,300,172,0.9305263157894736,0.042105263157894736,0.96,0.03878787878787879
calculator,calculator00071.jpg,300,199,0.9131455399061033,0.0892018779342723,0.9671875,0.03125
calculator,calculator00072.jpg,300,144,1.0,0.005,0.9782608695652174,0.0024154589371980675
calculator,calculator00073.jpg,300,263,0.9109052031361369,0.047042052744119746,0.99625,0.000625
lamp,lamp00025.jpg,300,300,0.9630434782608696,0.034782608695652174,0.9565217391304348,0.02608695652173913
lamp,lamp00026.jpg,300,300,0.808,0.186,0.998,0.002
lamp,lamp00027.jpg,300,209,0.38181818181818183,0.03090909090909091,0.3104325699745547,0.003816793893129771
lamp,lamp00028.jpg,300,262,0.5218181818181818,0.1509090909090909,0.7297297297297297,0.23052464228934816
lamp,lamp00029.jpg,330,184,0.9239130434782609,0.043478260869565216,0.8939393939393939,0.03939393939393939
lamp,lamp00030.jpg,225,300,0.955,0.291875,0.6825,0.021666666666666667
lamp,lamp00031.jpg,300,286,0.9889807162534435,0.005509641873278237,0.9973684210526316,0.007894736842105263
lamp,lamp00032.jpg,300,300,0.9173913043478261,0.08478260869565217,0.9891304347826086,0.006521739130434782
lamp,lamp00034.jpg,225,300,0.76796875,0.23671875,0.9916666666666667,0.08854166666666667
lamp,lamp00035.jpg,225,300,0.2581818181818182,0.03636363636363636,0.7142857142857143,0.3389830508474576
lamp,lamp00036.jpg,300,230,0.7381818181818182,0.007272727272727273,0.779020979020979,0.24615384615384617
lamp,lamp00037.jpg,300,291,0.911522633744856,0.3950617283950617,0.812,0.074
lamp,lamp00038.jpg,300,225,0.9791666666666666,0.24583333333333332,0.6625,0.1828125
lamp,lamp00039.jpg,300,300,0.8891304347826087,0.12391304347826088,0.8586956521739131,0.02826086956521739
lamp,lamp00040.jpg,300,300,0.68125,0.234375,0.8453125,0.1171875
lamp,lamp00041.jpg,300,245,0.9066666666666666,0.09333333333333334,0.9918032786885246,0.01366120218579235
lamp,lamp00042.jpg,300,137,0.8836363636363637,0.6054545454545455,0.1975,0.015833333333333335
lamp,lamp00042.jpg,300,137,0.4709090909090909,0.09454545454545454,0.7241666666666666,0.475
lamp,lamp00042.jpg,300,137,0.9690909090909091,0.5109090909090909,0.9791666666666666,0.7708333333333334
lamp,lamp00043.jpg,300,234,0.9688013136288999,0.048440065681444995,0.9559923093356121,0.027985473189489424
lamp,lamp00045.jpg,153,300,0.2966666666666667,0.06,0.9119086460032626,0.08319738988580751
lamp,lamp00045.jpg,153,300,0.6275,0.41083333333333333,0.9021207177814029,0.08319738988580751
lamp,lamp00045.jpg,153,300,0.96,0.7641666666666667,0.9102773246329527,0.09951060358890701
lamp,lamp00046.jpg,300,300,0.8043478260869565,0.18478260869565216,0.9891304347826086,0.004347826086956522
lamp,lamp00047.jpg,300,300,0.9033333333333333,0.40166666666666667,0.7583333333333333,0.16666666666666666
lamp,lamp00048.jpg,300,282,0.9454545454545454,0.4290909090909091,0.8461538461538461,0.27692307692307694
lamp,lamp00049.jpg,300,222,0.9763636363636363,0.34545454545454546,0.9082321187584346,0.02564102564102564
lamp,lamp00050.jpg,300,258,0.8084815321477428,0.18741450068399454,0.9846517119244392,0.014167650531286895
lamp,lamp00052.jpg,225,300,0.8628571428571429,0.5428571428571428,0.9291139240506329,0.020253164556962026
lamp,lamp00053.jpg,300,300,0.7934782608695652,0.20652173913043478,0.9847826086956522,0.004347826086956522
lamp,lamp00054.jpg,312,330,0.9878787878787879,0.02727272727272727,0.9871794871794872,0.028846153846153848
lamp,lamp00055.jpg,300,300,0.32,0.18333333333333332,0.365,0.20166666666666666
lamp,lamp00055.jpg,300,300,0.9683333333333334,0.5283333333333333,0.49333333333333335,0.011666666666666667
lamp,lamp00055.jpg,300,300,0.9583333333333334,0.54,0.985,0.5066666666666667
lamp,lamp00056.jpg,300,271,0.9333333333333333,0.4166666666666667,0.9593373493975904,0.015060240963855422
laptop,lamp00056.jpg,300,271,0.7033333333333334,0.0016666666666666668,0.7560240963855421,0.0015060240963855422
lamp,lamp00057.jpg,300,300,0.8065217391304348,0.1956521739130435,1.0,0.002173913043478261
lamp,lamp00058.jpg,300,300,0.7195652173913043,0.26521739130434785,0.991304347826087,0.002173913043478261
lamp,lamp00059.jpg,300,228,0.9927884615384616,0.2764423076923077,0.9155963302752294,0.25688073394495414
lamp,lamp00059.jpg,300,228,0.5216346153846154,0.019230769230769232,0.8422018348623853,0.07155963302752294
lamp,lamp00059.jpg,300,228,0.8100961538461539,0.4014423076923077,0.7779816513761468,0.326605504587156
lamp,lamp00060.jpg,300,298,0.89375,0.21041666666666667,0.9772256728778468,0.002070393374741201
lamp,lamp00061.jpg,200,300,0.9259259259259259,0.5902777777777778,0.9930555555555556,0.017361111111111112
lamp,lamp00062.jpg,300,300,0.8466666666666667,0.33166666666666667,0.845,0.18833333333333332
laptop,laptop00005.jpg,232,300,0.963265306122449,0.0326530612244898,0.9473684210526315,0.02894736842105263
laptop,laptop00006.jpg,200,300,0.9883333333333333,0.011666666666666667,0.91,0.0675
laptop,laptop00008.jpg,300,291,0.9237435008665511,0.03119584055459272,0.9528619528619529,0.06060606060606061
laptop,laptop00009.jpg,229,300,0.8759765625,0.1103515625,0.9719745222929936,0.03694267515923567
laptop,laptop00010.jpg,300,249,1.0,0.0038639876352395673,0.9948519948519948,0.007078507078507079
laptop,laptop00011.jpg,209,300,0.9928571428571429,0.11904761904761904,0.9522998296422487,0.022146507666098807
laptop,laptop00012.jpg,225,300,0.8876953125,0.0380859375,0.9954427083333334,0.0006510416666666666
laptop,laptop00013.jpg,225,300,0.8072643979057592,0.08213350785340315,1.0,0.0506108202443281
laptop,laptop00014.jpg,200,300,0.7876,0.1668,0.8950209958008398,0.029394121175764846
laptop,laptop00015.jpg,224,300,0.7613636363636364,0.10358391608391608,0.9205607476635514,0.09813084112149532
laptop,laptop00016.jpg,222,300,0.8692870201096892,0.10176721511273613,0.912828947368421,0.1435032894736842
laptop,laptop00017.jpg,243,300,0.8236279849183075,0.13866778382907416,0.9142118863049096,0.10387596899224806
laptop,laptop00018.jpg,225,300,0.744375,0.264375,0.8633333333333333,0.32666666666666666
laptop,laptop00018.jpg,225,300,0.86125,0.140625,0.9933333333333333,0.19416666666666665
laptop,laptop00019.jpg,258,300,0.953763440860215,0.03870967741935484,0.9325,0.0625
laptop,laptop00020.jpg,225,300,0.82890625,0.015625,0.9864583333333333,0.08125
laptop,laptop00021.jpg,225,300,0.44730392156862747,0.0024509803921568627,0.8006535947712419,0.28145424836601307
laptop,laptop00022.jpg,216,300,0.9900958466453674,0.04856230031948882,0.9366696191319752,0.006643046944198406
laptop,laptop00023.jpg,282,300,0.9993880048959608,0.0006119951040391676,0.998046875,0.0006510416666666666
laptop,laptop00024.jpg,168,300,0.9910913140311804,0.018188567186340016,0.974917491749175,0.029042904290429043
laptop,laptop00025.jpg,225,300,0.671875,0.0380859375,0.921875,0.08463541666666667
laptop,laptop00026.jpg,225,300,0.9774844720496895,0.014751552795031056,0.932712215320911,0.07867494824016563
laptop,laptop00027.jpg,225,300,0.9325,0.00375,0.8875,0.0925
laptop,laptop00028.jpg,200,300,1.0,0.07664609053497942,0.9992283950617284,0.005787037037037037
laptop,laptop00029.jpg,280,300,0.9782411604714415,0.050770625566636446,0.9854791868344628,0.028073572120038724
laptop,laptop00030.jpg,225,300,0.85,0.11,1.0,0.0044444444444444444
